,timestamp,target
493,2019-05-09,127.0
494,2019-05-10,51.0
495,2019-05-11,18.0
496,2019-05-12,0.0
497,2019-05-13,63.0
498,2019-05-14,55.0
499,2019-05-15,58.0
500,2019-05-16,29.0
501,2019-05-17,36.0
502,2019-05-18,37.0
503,2019-05-19,33.0
504,2019-05-20,20.0
505,2019-05-21,45.0
506,2019-05-22,25.0
507,2019-05-23,53.0
508,2019-05-24,47.0
509,2019-05-25,83.0
510,2019-05-26,63.0
511,2019-05-27,0.0
512,2019-05-28,0.0
513,2019-05-29,6.0
514,2019-05-30,29.0
515,2019-05-31,85.0
516,2019-06-01,70.0
517,2019-06-02,132.0
518,2019-06-03,94.0
519,2019-06-04,86.0
520,2019-06-05,67.0
521,2019-06-06,47.0
522,2019-06-07,55.0
523,2019-06-08,33.0
524,2019-06-09,67.0
525,2019-06-10,38.0
526,2019-06-11,76.0
527,2019-06-12,176.0
528,2019-06-13,143.0
529,2019-06-14,201.0
530,2019-06-15,222.0
531,2019-06-16,165.0
532,2019-06-17,192.0
533,2019-06-18,161.0
534,2019-06-19,188.0
535,2019-06-20,97.0
536,2019-06-21,7.0
537,2019-06-22,57.0
538,2019-06-23,85.0
539,2019-06-24,88.0
540,2019-06-25,122.0
541,2019-06-26,211.0
542,2019-06-27,241.0
543,2019-06-28,242.0
544,2019-06-29,198.0
545,2019-06-30,182.0
546,2019-07-01,229.0
547,2019-07-02,243.0
548,2019-07-03,233.0
549,2019-07-04,224.0
550,2019-07-05,214.0
551,2019-07-06,227.0
552,2019-07-07,220.0
553,2019-07-08,211.0
554,2019-07-09,226.0
555,2019-07-10,223.0
556,2019-07-11,227.0
557,2019-07-12,143.0
558,2019-07-13,124.0
559,2019-07-14,158.0
560,2019-07-15,161.0
561,2019-07-16,132.0
562,2019-07-17,124.0
563,2019-07-18,132.0
564,2019-07-19,81.0
565,2019-07-20,58.0
566,2019-07-21,33.0
567,2019-07-22,73.0
568,2019-07-23,176.0
569,2019-07-24,171.0
570,2019-07-25,216.0
571,2019-07-26,215.0
572,2019-07-27,245.0
573,2019-07-28,240.0
574,2019-07-29,233.0
575,2019-07-30,155.0
576,2019-07-31,228.0
577,2019-08-01,232.0
578,2019-08-02,216.0
579,2019-08-03,236.0
580,2019-08-04,243.0
581,2019-08-05,96.0
582,2019-08-06,155.0
583,2019-08-07,244.0
584,2019-08-08,218.0
585,2019-08-09,207.0
586,2019-08-10,243.0
587,2019-08-11,246.0
588,2019-08-12,234.0
589,2019-08-13,217.0
590,2019-08-14,201.0
591,2019-08-15,208.0
592,2019-08-16,138.0
593,2019-08-17,110.0
594,2019-08-18,67.0
595,2019-08-19,67.0
596,2019-08-20,108.0
597,2019-08-21,112.0
598,2019-08-22,97.0
599,2019-08-23,164.0
600,2019-08-24,190.0
601,2019-08-25,198.0
602,2019-08-26,147.0
603,2019-08-27,164.0
604,2019-08-28,84.0
605,2019-08-29,155.0
606,2019-08-30,240.0
607,2019-08-31,160.0
608,2019-09-01,80.0
609,2019-09-02,216.0
610,2019-09-03,236.0
611,2019-09-04,242.0
612,2019-09-05,239.0
613,2019-09-06,245.0
614,2019-09-07,202.0
615,2019-09-08,0.0
616,2019-09-09,122.0
617,2019-09-10,183.0
618,2019-09-11,160.0
619,2019-09-12,210.0
